,title,week,rank,star_mean,large_genre,small_genre,heart,isnovel,america_title,america_rank
53,나 혼자 만렙,fri,3,9.89,스토리,판타지,2836,1,I'm the Max-Level Newbie,41
54,어쩌다보니 천,fri,4,9.97,스토리,로맨스,1894,0,Maybe Meant to Be,1
55,역대급 영지 ,fri,5,9.97,스토리,판타지,1293,1,The Greatest Estate Developer,16
56,광마회귀,fri,8,9.97,스토리,무협/사극,2498,1,Return of the Mad Demon,10
57,상남자,fri,11,9.95,스토리,드라마,26542,1,A Man's Man,47
58,세기말 풋사과,fri,12,9.99,스토리,로맨스,11104,0,After School Lessons for Unripe Apples,19
59,"언니, 이번 ",fri,14,9.97,스토리,로맨스,515,1,I'm the Queen in This Life,2
60,서울역 드루이드,fri,18,9.75,스토리,판타지,987,1,The Druid of Seoul Station,15
61,그렇고 그런 ,fri,22,9.97,스토리,로맨스,810,0,A Whirlwind Campus Affair,29
62,너의 미소가 ,fri,30,9.97,스토리,로맨스,74107,0,Your Smile is a Trap ,64
63,킬 더 드래곤,fri,37,9.93,스토리,액션,160,1,Kill the Dragon,20
64,미친 후작을 ,fri,40,9.94,스토리,로맨스,559,1,Taming the Marquess,58
65,크림슨 하트,fri,46,9.68,스토리,판타지,151,1,Crimson Heart,27
66,네버엔딩달링,fri,74,9.95,스토리,스릴러,746,0,Never-Ending Darling,33
67,행운을 빌어요,fri,77,9.87,스토리,로맨스,205,0,"Good Luck, Hero! ",70
68,99강화나무몽,sat,1,9.8,스토리,판타지,1949,0,+99 Reinforced Wooden Stick,6
69,작전명 순정,sat,16,9.95,스토리,로맨스,1370,0,Operation: True Love,3
70,청춘 블라썸,sat,18,9.97,옴니버스,로맨스,99999,0,Seasons of Blossom,14
71,"나태 공자, ",sat,19,9.95,스토리,판타지,1020,1,The Lazy Lord Masters the Sword,7
72,반드시 해피엔딩,sat,21,9.96,스토리,로맨스,3401,1,There Must Be Happy Endings,17
73,소공녀 민트,sat,24,9.97,스토리,드라마,956,1,Little Lady Mint,17
74,아사,sat,35,9.95,스토리,판타지,809,1,Aza,34
75,남편을 만렙으,sat,37,9.97,스토리,로맨스,923,1,Leveling Up My Husband to the Max,5
76,용사참수인,sat,39,9.92,스토리,판타지,236,0,Warrior Executioner,51
77,엑스애쉬,sat,40,9.85,스토리,판타지,357,0,X & Ash,24
78,완벽한 부부는,sat,50,9.92,스토리,로맨스,232,1,No Marriage is Perfect,31
79,키스 식스 센스,sat,59,9.93,스토리,로맨스,1151,0,Sixth Sense Kiss,5
80,적월의 나라,sat,63,9.78,스토리,액션,95,0,Land of the Crimson Moon,53
81,모두 너였다,sat,65,9.96,스토리,로맨스,1697,1,It Was All You,56
82,7FATES:,sat,73,8.39,스토리,판타지,749,1,7FATES: CHAKHO,37
83,입학용병,sun,3,9.89,스토리,액션,13166,0,Teenage Mercenary,2
84,시월드가 내게,sun,6,9.98,스토리,로맨스,1339,1,My In-Laws are Obsessed with Me ,7
85,아카데미에 위,sun,8,9.96,스토리,판타지,436,1,The Academy's Undercover Professor,17
86,살아남은 로맨스,sun,13,9.98,스토리,판타지,6275,0,Surviving Romance,66
87,내일,sun,15,9.97,옴니버스,드라마,99999,0,Tomorrow,54
88,고백 취소도 ,sun,31,9.95,스토리,로맨스,628,0,Can I Take It Back?,21
89,마왕의 고백,sun,45,9.95,스토리,판타지,491,0,The Dark Lord's Confession,23
90,일타강사 백사부,sun,48,9.95,스토리,무협/사극,719,1,Best Teacher Baek,24
91,전설의 화석,sun,76,9.87,스토리,판타지,420,1,The Legendary Fossil,52
